insert into Members values('MB000001','Halsy','Heckner', 'hhecknerd@github.com', '(928) 7291992', TO_DATE('01/01/2024', 'MM/DD/YYYY'), TO_DATE('01/01/2025', 'MM/DD/YYYY'), 'EXPIRED');
insert into Members values('MB000002','Albina','Dobing', 'adobingr@printfriendly.com', '(327) 7617435', TO_DATE('01/04/2025', 'MM/DD/YYYY'), TO_DATE('01/04/2026', 'MM/DD/YYYY'), 'ACTIVE');
insert into Members values('MB000003','Alfredo','Ivashnikov', 'aivashnikovs@infoseek.co.jp', '(905) 1808853', TO_DATE('01/06/2025', 'MM/DD/YYYY'), TO_DATE('01/06/2026', 'MM/DD/YYYY'), 'ACTIVE');
insert into Members values('MB000004','Sean','Jopke', 'sjopke10@t.co', '(454) 4169178', TO_DATE('01/11/2024', 'MM/DD/YYYY'), TO_DATE('01/11/2025', 'MM/DD/YYYY'), 'EXPIRED');
insert into Members values('MB000005','Abdul','Killen', 'akillenn@fotki.com', '(779) 8348387', TO_DATE('01/15/2025', 'MM/DD/YYYY'), TO_DATE('01/15/2026', 'MM/DD/YYYY'), 'ACTIVE');
insert into Members values('MB000006','Marissa','Bolf', 'mbolf0@vistaprint.com', '(124) 1826066', TO_DATE('01/18/2025', 'MM/DD/YYYY'), TO_DATE('01/18/2026', 'MM/DD/YYYY'), 'ACTIVE');
insert into Members values('MB000007','Renaldo','Griss', 'rgrissy@topsy.com', '(453) 2050920', TO_DATE('01/24/2025', 'MM/DD/YYYY'), TO_DATE('01/24/2026', 'MM/DD/YYYY'), 'SUSPENDED');
insert into Members values('MB000008','Horton','Escala', 'hescalao@devhub.com', '(482) 7214456', TO_DATE('02/17/2025', 'MM/DD/YYYY'), TO_DATE('02/17/2026', 'MM/DD/YYYY'), 'ACTIVE');
insert into Members values('MB000009','Kim','Gurko', 'kgurkot@plala.or.jp', '(755) 4350670', TO_DATE('02/26/2025', 'MM/DD/YYYY'), TO_DATE('02/26/2026', 'MM/DD/YYYY'), 'SUSPENDED');
insert into Members values('MB000010','Bert','Winser', 'bwinsere@oaic.gov.au', '(203) 5614217', TO_DATE('03/02/2025', 'MM/DD/YYYY'), TO_DATE('03/02/2026', 'MM/DD/YYYY'), 'SUSPENDED');
insert into Members values('MB000011','Jamill','Sagrott', 'jsagrotti@uol.com.br', '(932) 4699632', TO_DATE('03/28/2024', 'MM/DD/YYYY'), TO_DATE('03/28/2025', 'MM/DD/YYYY'), 'ACTIVE');
insert into Members values('MB000012','Ruperta','Steuhlmeyer', 'rsteuhlmeyer11@scientificamerican.com', '(282) 9798765', TO_DATE('04/23/2024', 'MM/DD/YYYY'), TO_DATE('04/23/2025', 'MM/DD/YYYY'), 'ACTIVE');
insert into Members values('MB000013','Jonell','Walstow', 'jwalstow1@printfriendly.com', '(767) 5058325', TO_DATE('05/03/2024', 'MM/DD/YYYY'), TO_DATE('05/03/2025', 'MM/DD/YYYY'), 'ACTIVE');
